No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	4A	LR2-1	what kind of ~?	どんな種類の〜？	[構文]			
2	4A	LR2-2	think of ~	〜を思い浮かべる	[熟語]			
3	4A	LR2-3	more and more	ますます多くの	[熟語]			
4	4A	LR2-5	look at ~	〜を見る	[熟語]			
5	4A	LR2-7	by itself	それ自体で、独力で	[句]			
6	4A	LR2-8	care facility	介護施設	[句]			
7	4A	LR2-13	in addition	加えて	[熟語]			
8	4A	LR2-18	one of ~	〜の一つ	[句]			
9	4A	LR2-25	that way	そうすることで、そのようにして	[句]			
10	4A	LR2-26	thanks to ~	〜のおかげで	[熟語]			
11	4A	LR2-30	pick it up	それを拾う	[熟語]			
12	4A	LR2-33	call for ~	〜を求める	[熟語]			
13	4A	LR2-36	want A to do B	AにBしてほしいと思う	[構文]			
14	4A	LR2-37	expect A to be B	AがBであることを期待する	[構文]			
15	4A	LR2-38	each other	お互い	[熟語]			
16	4A	LR2-39	would like to do	〜したいのですが	[構文]			
17	4A	LR2-42	be kind to ~	〜に親切にする	[熟語]			
