No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	2	2-H-3	school trip	修学旅行	[句]			
2	2	2-H-3	on your school trip	修学旅行で	[句]			
3	2	2-1-1	on the way to ~	〜へ行く途中で	[句]			
4	2	2-1-2	go up	上る	[熟語]			
5	2	2-1-3	This way.	こちらです。	[口語表現]			
6	2	2-1-5	travel back in time	時間をさかのぼって旅をする	[熟語]			
7	2	2-1-6	think (that) ~	私は〜だと思う	[構文]			
8	2	2-1-9	at the top	頂上に	[句]			
9	2	2-1-10	Kiyomizu-dera Temple	清水寺	[固有名詞][施設名]			
10	2	2-1-13	the whole of ~	〜の全体	[熟語]			
11	2	2-2-1	get off ~	〜から降りる	[熟語]			
12	2	2-2-6	share A with B	AをBと共有する	[構文]			
13	2	2-2-7	Wait a minute.	ちょっと待って。	[口語表現]			
14	2	2-2-8	What's wrong?	どうしたの？	[口語表現]			
15	2	2-2-10	Don't worry.	心配しないで。	[口語表現]			
16	2	2-2-13	Hurry up.	急いで。	[口語表現]			
17	2	2-2-15	be careful	気をつけて。	[口語表現]			
18	2	2-3-1	What's up with ~?	〜はどうしたの？	[口語表現]			
19	2	2-3-2	like that	そのように	[句]			
20	2	2-3-8	Here you are.	はい、どうぞ。	[口語表現]			
21	2	2-3-11	catch up with ~	〜に追いつく	[熟語]			
22	2	2-3-12	It's no big deal.	たいしたことないよ。	[口語表現]			
23	2	2-3-14	look at ~	〜を見る	[熟語]			
24	2	2-3-15	such a ~	そのような〜	[構文]			
25	2	2-G-1	photo shoot	写真撮影	[熟語]			
26	2	2-G-6	agree with ~	〜に同意する	[熟語]			
27	2	2-G-8	the same as ~	〜と同じ	[熟語]			
28	2	2-G-15	in one's opinion	〜の意見では	[熟語]			
29	2	2-G-16	according to ~	〜によれば	[熟語]			
