No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	2	2-H-1	The Minami High School Festival	南高校祭	(タイトル)			
2	2	2-H-2	May 10 [Sat.] - 11 [Sun.]	5月10日(土) - 11日(日)	(日付)			
3	2	2-H-3	Where do you want to go on your school trip, and why?	あなたは修学旅行でどこに行きたいですか、そしてそれはなぜですか？	疑問詞(Where/Why)	want to do		
4	2	2-H-4	What will happen during their school trip?	彼らの修学旅行中に何が起こるでしょうか？	疑問詞(What)	will		
5	2	2-1-1	On the way to Kiyomizu-dera Temple:	清水寺へ向かう途中：	(場面)			
6	2	2-1-2	Do we go up the hill?	私たちはこの丘を上るのですか？	doの疑問文	go up		
7	2	2-1-3	Yes. This way.	はい。こちらです。	(応答)			
8	2	2-1-4	This is so beautiful.	これはとても美しいです。	so (副詞)			
9	2	2-1-5	It's like traveling back in time.	まるで時間をさかのぼって旅をしているみたいです。	like (前置詞)	動名詞		
10	2	2-1-6	Look. I think that's the tower of Yasaka.	見て。あれが八坂の塔だと思う。	think (that) S V			
11	2	2-1-7	Cool!	かっこいい！	(感嘆)			
12	2	2-1-8	Later:	その後：	(場面転換)			
13	2	2-1-9	We've arrived at the top!	私たちは頂上に着きました！	現在完了形(完了)			
14	2	2-1-10	We've finally reached the famous stage of Kiyomizu-dera Temple.	私たちはついに清水寺の有名な舞台に到着しました。	現在完了形(完了)			
15	2	2-1-11	Wow, this is amazing!	うわあ、これはすごい！	(感嘆)			
16	2	2-1-12	The view is breathtaking.	この眺めは息をのむようです。	be動詞(is)			
17	2	2-1-13	You can see the whole of Kyoto from here!	ここから京都のすべてが見えますね！	can			
18	2	2-2-1	They get off the bus:	彼らはバスを降ります：	(場面)			
19	2	2-2-2	I think Kyoto Station is that way.	京都駅はあちら側だと思います。	think (that) S V			
20	2	2-2-3	Tina, have you checked your photos yet?	ティナ、もう写真は確認した？	現在完了形(完了)	yet (疑問文)		
21	2	2-2-4	No, I haven't.	いいえ、まだです。	(応答)			
