No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	3	3-H-3	know about ~	〜について知っている	[熟語]			
2	3	3-H-4	thank you for ~	〜をありがとう	[口語表現]			
3	3	3-H-5	look forward to -ing	〜するのを楽しみに待つ	[熟語]			
4	3	3-1-1	Atomic Bomb Dome	原爆ドーム	[固有名詞][施設名]			
5	3	3-1-3	like this	このように	[句]			
6	3	3-1-3	for about 80 years	約80年間	[句]			
7	3	3-1-4	remind A of B	AにBを思い出させる	[構文]			
8	3	3-1-5	work for peace	平和のために働く	[句]			
9	3	3-1-7	How long ~?	どのくらいの期間〜？	[構文]			
10	3	3-2-5	be determined to do	〜することを固く決心している	[熟語]			
11	3	3-2-5	young people	若者たち	[句]			
12	3	3-2-10	in the world	世界で	[句]			
13	3	3-3-3	what to do	何をすべきか	[構文]			
14	3	3-3-6	get older	年をとる	[熟語]			
15	3	3-3-6	year by year	年々	[熟語]			
16	3	3-3-7	pass ~ on (to ...)	〜を（…に）伝える	[熟語]			
17	3	3-3-8	a lot	たくさん	[熟語]			
18	3	3-3-9	how to do	どのように〜すべきか	[構文]			
19	3	3-3-10	It is ~ for A to do B	AがBすることは〜だ	[構文]			
20	3	3-G-2	because of ~	〜が原因で、〜のために	[熟語]			
21	3	3-G-3	be born and raised in ~	〜で生まれ育つ	[熟語]			
22	3	3-G-3	at school	学校で	[句]			
23	3	3-G-4	in one's own words	自分の言葉で	[熟語]			
24	3	3-G-5	decide to do	〜することを決心する	[構文]			
25	3	3-G-6	want to do	〜したいと思う	[構文]			
26	3	3-G-6	pass down ~ (to ...)	〜を（…に）伝える	[熟語]			
27	3	3-G-6	such as ...	…のような	[熟語]			
28	3	3-G-7	at first	最初は	[熟語]			
29	3	3-G-7	It is ~ for A to do B	AがBすることは〜だ	[構文]			
30	3	3-G-8	one day	ある日	[句]			
31	3	3-G-9	think of ~	〜のことを思う	[熟語]			
32	3	3-G-12	since then	それ以来	[熟語]			
33	3	3-G-13	I'd like to do	〜したいのですが	[構文]			
34	3	3-G-13	take action	行動を起こす	[熟語]			
