No	unit	文番号	熟語・構文	意味1	用法1	意味2	用法2	備考
1	4	4-H-3	washing machine	洗濯機	[句]			
2	4	4-H-7	civil war	内戦	[句]			
3	4	4-H-10	refugee camp	難民キャンプ	[句]			
4	4	4-H-12	Goodwill Ambassador	親善大使	[句]			
5	4	4-H-13	daily life	日常生活	[句]			
6	4	4-1-3	a part of ~	〜の一部	[句]			
7	4	4-1-4	For example	例えば	[熟語]			
8	4	4-1-4	search engine	検索エンジン	[句]			
9	4	4-1-5	these days	最近では	[熟語]			
10	4	4-1-9	come up with ~	〜を思いつく	[熟語]			
11	4	4-1-11	in the near future	近い将来に	[句]			
12	4	4-1-11	all over the world	世界中で	[句]			
13	4	4-2-6	be good at ~	〜が得意だ	[熟語]			
14	4	4-2-7	in my opinion	私の意見では	[熟語]			
15	4	4-2-7	not ~ anymore	もはや〜ない	[熟語]			
16	4	4-2-8	have a good point	良い点を指摘している、一理ある	[口語表現]			
17	4	4-2-9	not always	いつも〜とは限らない	[構文]			
18	4	4-2-9	rely on ~	〜に頼る	[熟語]			
19	4	4-3-2	Go ahead.	どうぞ。	[口語表現]			
20	4	4-3-5	How about ~?	〜はどうですか？	[口語表現]			
21	4	4-3-8	on the other hand	その一方で	[熟語]			
22	4	4-3-9	world view	世界観	[句]			
23	4	4-3-10	each other	お互い	[熟語]			
24	4	4-G-6	too ~ for A to do B	AがBするには〜すぎる	[構文]			
25	4	4-G-7	take time	時間がかかる	[熟語]			
26	4	4-G-12	not all ~	すべてが〜というわけではない	[構文]			
27	4	4-G-16	those who ~	〜する人々	[構文]			
28	4	4-G-16	know nothing of ~	〜について何も知らない	[熟語]			
